Frame,Spot_ID,Ref_X,Ref_Y,Distorted_X,Distorted_Y,Shift_X,Shift_Y
3,70,460,138,366,141,-94,3
3,71,414,138,139,141,-275,3
3,72,368,138,47,141,-321,3
3,73,322,138,414,140,92,2
3,74,276,138,279,139,3,1
3,75,230,138,228,139,-2,1
3,76,184,138,323,138,139,0
3,77,138,138,458,137,320,-1
3,78,92,138,89,137,-3,-1
3,79,46,138,186,135,140,-3
3,80,460,92,463,95,3,3
3,81,414,92,279,91,-135,-1
3,82,368,92,415,90,47,-2
3,83,322,92,369,90,47,-2
3,84,276,92,323,90,47,-2
3,85,230,92,233,90,3,-2
3,86,184,92,140,90,-44,-2
3,87,138,92,45,90,-93,-2
3,88,92,92,182,89,90,-3
3,89,46,92,90,89,44,-3
3,90,460,46,459,48,-1,2
3,91,414,46,275,48,-139,2
3,92,368,46,366,47,-2,1
3,93,322,46,135,46,-187,0
3,94,276,46,44,45,-232,-1
3,95,230,46,183,44,-47,-2
3,96,184,46,95,44,-89,-2
3,97,138,46,416,43,278,-3
3,98,92,46,320,43,228,-3
3,99,46,46,231,43,185,-3
4,0,460,460,367,463,-93,3
4,1,414,460,227,463,-187,3
4,2,368,460,463,461,95,1
4,3,322,460,415,461,93,1
4,4,276,460,323,461,47,1
4,5,230,460,45,461,-185,1
4,6,184,460,136,460,-48,0
4,7,138,460,91,460,-47,0
4,8,92,460,274,458,182,-2
4,9,46,460,186,457,140,-3
4,10,460,414,412,417,-48,3
4,11,414,414,233,417,-181,3
4,12,368,414,49,417,-319,3
4,13,322,414,461,416,139,2
4,14,276,414,141,416,-135,2
4,15,230,414,278,414,48,0
4,16,184,414,184,414,0,0
4,17,138,414,89,412,-49,-2
4,18,92,414,366,411,274,-3
4,19,46,414,321,411,275,-3
4,20,460,368,232,370,-228,2
4,21,414,368,183,370,-231,2
4,22,368,368,278,369,-90,1
4,23,322,368,89,369,-233,1
4,24,276,368,412,368,136,0
4,25,230,368,322,368,92,0
4,26,184,368,44,368,-140,0
4,27,138,368,462,367,324,-1
4,28,92,368,137,367,45,-1
4,29,46,368,367,366,321,-2
4,30,460,322,461,325,1,3
4,31,414,322,322,325,-92,3
4,32,368,322,371,323,3,1
4,33,322,322,275,322,-47,0
4,34,276,322,91,322,-185,0
4,35,230,322,415,321,185,-1
4,36,184,322,185,321,1,-1
4,37,138,322,139,321,1,-1
4,38,92,322,228,320,136,-2
4,39,46,322,45,320,-1,-2
4,40,460,276,136,279,-324,3
4,41,414,276,232,278,-182,2
4,42,368,276,95,278,-273,2
4,43,322,276,459,277,137,1
4,44,276,276,320,277,44,1
4,45,230,276,46,277,-184,1
4,46,184,276,185,276,1,0
4,47,138,276,365,275,227,-1
4,48,92,276,414,273,322,-3
4,49,46,276,276,273,230,-3
4,50,460,230,366,233,-94,3
4,51,414,230,89,232,-325,2
4,52,368,230,275,230,-93,0
4,53,322,230,461,229,139,-1
4,54,276,230,185,229,-91,-1
4,55,230,230,414,228,184,-2
4,56,184,230,231,228,47,-2
4,57,138,230,325,227,187,-3
4,58,92,230,138,227,46,-3
4,59,46,230,43,227,-3,-3
4,60,460,184,463,187,3,3
4,61,414,184,324,185,-90,1
4,62,368,184,186,185,-182,1
4,63,322,184,276,184,-46,0
4,64,276,184,135,184,-141,0
4,65,230,184,416,183,186,-1
4,66,184,184,227,183,43,-1
4,67,138,184,371,182,233,-2
4,68,92,184,95,182,3,-2
4,69,46,184,45,181,-1,-3
4,70,460,138,457,139,-3,1
4,71,414,138,325,139,-89,1
4,72,368,138,141,139,-227,1
4,73,322,138,45,139,-277,1
4,74,276,138,274,138,-2,0
4,75,230,138,93,138,-137,0
4,76,184,138,366,137,182,-1
4,77,138,138,233,137,95,-1
4,78,92,138,414,135,322,-3
4,79,46,138,187,135,141,-3
4,80,460,92,371,94,-89,2
4,81,414,92,273,94,-141,2
4,82,368,92,227,94,-141,2
4,83,322,92,141,94,-181,2
4,84,276,92,47,94,-229,2
